time,phi,theta,psi,p,q,r,vtas,Mach,alpha,beta,gamma,Ax,Ay,Az,da,de,dr,dta,dte,dtr,flaps,gear,Tc1,Tc2,u_n,v_n,w_n
22.42,-4.88383736693894e-14,0.0383677005338213,-5.30212579989648e-14,-2.04549353265514e-15,-0.00150533910708164,-4.41972238779614e-15,118.97843346694,0.383565975058679,0.0552525068634419,3.9955679771447e-15,-0.0168848063296206,0.551286575893897,-3.49167036324111e-14,-9.58855182647688,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.961473691405,-5.51120742997455e-12,2.00883235140869
22.43,-4.88604974758409e-14,0.0383526609094689,-5.30647613971853e-14,-2.04558998340905e-15,-0.00150258544160211,-4.42149192091239e-15,118.980295105924,0.383571872268015,0.0552523996081071,3.99544073161957e-15,-0.0168997386986381,0.551266444140997,-3.49174585310905e-14,-9.58887909926009,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.963305054664,-5.51633777517797e-12,2.01064018752356
22.44,-4.88826223102635e-14,0.0383376488314464,-5.31082834928225e-14,-2.04568640993834e-15,-0.00149982983900537,-4.42326143698672e-15,118.982157832719,0.383577772887257,0.0552522920851394,3.99531347824645e-15,-0.016914643253693,0.551246297779934,-3.4918214046807e-14,-9.5892065513088,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.965137534087,-5.52147054829957e-12,2.01244478828669
22.45,-4.89047481731295e-14,0.0383226643191868,-5.31518242878954e-14,-2.04578281229376e-15,-0.00149707228704878,-4.42503093599676e-15,118.984021644385,0.383583676907086,0.0552521842999317,3.99518621705542e-15,-0.0169295199807449,0.551226136891469,-3.49189701777672e-14,-9.58953418280616,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.96697112691,-5.5266057496613e-12,2.01424615187333
22.46,-4.89268750649146e-14,0.038307707392242,-5.31953837844298e-14,-2.04587919052462e-15,-0.00149431277414073,-4.42680041792005e-15,118.985886537979,0.383589584318182,0.0552520762579827,3.99505894807546e-15,-0.0169443688657407,0.551205961557474,-3.49197269221564e-14,-9.58986199394715,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.968805830369,-5.53174337958496e-12,2.01604427645664
22.47,-4.89490029860973e-14,0.038292778070277,-5.32389619844583e-14,-2.04597554467873e-15,-0.00149155128933892,-4.42856988273412e-15,118.987752510559,0.383595495111218,0.0552519679648896,3.99493167133439e-15,-0.0169591898946126,0.551185771860856,-3.49204842781389e-14,-9.59018998493772,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.970641641699,-5.53688343839225e-12,2.01783916020762
22.48,-4.89711319371593e-14,0.0382778763730626,-5.32825588900198e-14,-2.04607187480241e-15,-0.00148878782234821,-4.43033933041652e-15,118.989619559182,0.383601409276868,0.0552518594263405,3.99480438685891e-15,-0.0169739830532779,0.551165567885483,-3.49212422438582e-14,-9.59051815599374,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.972478558132,-5.54202592640477e-12,2.019630801295
22.49,-4.89932619185851e-14,0.0382630023204696,-5.33261745031594e-14,-2.0461681809404e-15,-0.0014860223635178,-4.43210876094494e-15,118.991487680902,0.383607326805797,0.0552517506481076,3.99467709467459e-15,-0.016988748327638,0.551145349716117,-3.49220008174376e-14,-9.59084650734024,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.974316576901,-5.54717084394403e-12,2.02141919788512
22.5,-4.90153929308623e-14,0.0382481559324618,-5.33698088259281e-14,-2.04626446313584e-15,-0.00148325490383799,-4.43387817429722e-15,118.993356872774,0.383613247688669,0.0552516416360395,3.99454979480584e-15,-0.0170034857035776,0.55112511743834,-3.49227599969805e-14,-9.5911750392104,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.976155695235,-5.55231819133141e-12,2.02320434814189
22.51,-4.90375249744816e-14,0.0382333372290903,-5.34134618603822e-14,-2.04636072143028e-15,-0.00148048543493642,-4.43564757045144e-15,118.995227131849,0.383619171916146,0.0552515323960545,3.99442248727594e-15,-0.0170181951669642,0.551104871138484,-3.49235197805708e-14,-9.59150375184471,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.977995910365,-5.55746796888823e-12,2.02498625022664
22.52,-4.90596580499365e-14,0.0382185462304864,-5.34571336085833e-14,-2.04645695586359e-15,-0.00147771394907382,-4.43741694938598e-15,118.99709845518,0.383625099478881,0.0552514229341335,3.99429517210703e-15,-0.0170328767036472,0.551084610903564,-3.49242801662732e-14,-9.59183264549015,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.979837219516,-5.56262017693568e-12,2.02676490229814
22.53,-4.90817921577233e-14,0.0382037829568558,-5.35008240725979e-14,-2.04655316647396e-15,-0.00147494043913932,-4.43918631107957e-15,118.998970839816,0.383631030367528,0.0552513132563135,3.9941678493201e-15,-0.0170475302994577,0.551064336821211,-3.4925041152134e-14,-9.59216172039923,-8.91980844244292e-16,-0.0275104099828779,7.54351586590138e-15,0,0,0,0,0,0.694974030310678,0.694974030310678,118.981679619916,-5.5677748157949e-12,2.02854030251247
